Network,SchoolId,UnitName
Network 1,610212,Albany Park Multicultural Academy
Network 1,610209,Alessandro Volta Elementary School
Network 1,609836,Arthur E Canty Elementary School
Network 1,610083,Daniel C Beard Elementary School
Network 1,609901,Edgebrook Elementary School
Network 1,610523,Edison Park Elementary School
Network 1,610137,Ernst Prussing Elementary School
Network 1,609874,Everett McKinley Dirksen Elementary School
Network 1,610163,Frederick Stock Elementary School
Network 1,609857,Grover Cleveland Elementary School
Network 1,610182,Hannah G Solomon Elementary School
Network 1,609972,Helge A Haugan Elementary School
Network 1,609798,Hiram H Belding Elementary School
Network 1,609912,James B Farnsworth Elementary School
Network 1,609796,Jean Baptiste Beaubien Elementary School
Network 1,610089,John B Murphy Elementary School
Network 1,610111,John Palmer Elementary School
Network 1,609937,John W Garvy Elementary School
Network 1,610159,Jonathan Y Scammon Elementary School
Network 1,610127,Mary Gage Peterson Elementary School
Network 1,609792,Newton Bateman Elementary School
Network 1,609810,Norman A Bridge Elementary School
Network 1,610354,North River Elementary School
Network 1,610099,Norwood Park Elementary School
Network 1,610105,Oriole Park Elementary School
Network 1,609988,Patrick Henry Elementary School
Network 1,610145,Peter A Reinberg Elementary School
Network 1,610135,Portage Park Elementary School
Network 1,609995,Rufus M Hitch Elementary School
Network 1,609794,Thomas A Edison Regional Gifted Center ES
Network 1,610230,Wildwood IB World Magnet School
Network 1,609884,William E Dever Elementary School
Network 1,609994,William G Hibbard Elementary School
Network 1,610104,William J Onahan Elementary School
Network 1,609949,William P Gray Elementary School
Network 2,609804,Daniel Boone Elementary School
Network 2,609859,DeWitt Clinton Elementary School
Network 2,609918,Eugene Field Elementary School
Network 2,609779,George Armstrong International Studies ES
Network 2,610196,George B Swift Elementary Specialty School
Network 2,610122,Helen Peirce International Studies ES
Network 2,610070,James B McPherson Elementary School
Network 2,609866,John C Coonley Elementary School
Network 2,610269,John T McCutcheon Elementary School
Network 2,609865,Jordan Elementary Community School
Network 2,610022,Joyce Kilmer Elementary School
Network 2,610355,Mary E Courtenay Elementary Language Arts Center
Network 2,610011,Minnie Mars Jamieson Elementary School
Network 2,610284,New Field Elementary School
Network 2,609880,Stephen Decatur Classical Elementary School
Network 2,609933,Stephen F Gale Elementary Community Academy
Network 2,609976,Stephen K Hayt Elementary School
Network 2,610191,Stone Elementary Scholastic Academy
Network 2,610220,Thomas J Waters Elementary School
Network 3,609904,Edward K Ellington Elementary School
Network 3,610235,Ella Flagg Young Elementary School
Network 3,610165,Franz Peter Schubert Elementary School
Network 3,610305,George Leland Elementary School
Network 3,610068,Hanson Park Elementary School
Network 3,610158,Harriet E Sayre Elementary Language Academy
Network 3,610092,Henry H Nash Elementary School
Network 3,609975,John Hay Elementary Community Academy
Network 3,610043,Joseph Lovett Elementary School
Network 3,610041,Josephine C Locke Elementary School
Network 3,609910,Laughlin Falconer Elementary School
Network 3,609818,Luther Burbank Elementary School
Network 3,610539,Marvin Camras Elementary School
Network 3,610046,Mary Lyon Elementary School
Network 3,609830,Milton Brunson Math & Science Specialty ES
Network 3,610051,Northwest Middle School
Network 3,610367,Oscar DePriest Elementary School
Network 3,610183,Spencer Technology Academy
Network 4,609799,Alexander Graham Bell Elementary School
Network 4,609963,Alexander Hamilton Elementary School
Network 4,610144,Frank W Reilly Elementary School
Network 4,609930,Frederick Funston Elementary School
Network 4,610010,Friedrich L. Jahn Elementary of the Fine Arts
Network 4,610048,George Manierre Elementary School
Network 4,609974,Hawthorne Elementary Scholastic Academy
Network 4,609850,Horace Greeley Elementary School
Network 4,610078,Inter-American Elementary Magnet School
Network 4,609803,James G Blaine Elementary School
Network 4,610074,James Monroe Elementary School
Network 4,609942,Johann W von Goethe Elementary School
Network 4,609782,John J Audubon Elementary School
Network 4,610033,LaSalle Elementary Language Academy
Network 4,610325,Logandale Middle School
Network 4,609809,Lorenz Brentano Math & Science Academy ES
Network 4,610094,Louis Nettelhorst Elementary School
Network 4,609774,Louisa May Alcott College Preparatory ES
Network 4,610524,Louisa May Alcott College Preparatory HS
Network 4,610059,Oscar F Mayer Elementary School
Network 4,609853,Salmon P Chase Elementary School
Network 4,609968,Sharon Christa McAuliffe Elementary School
Network 4,610534,Skinner North
Network 4,610095,Walter L Newberry Math & Science Academy ES
Network 4,610136,William H Prescott Elementary School
Network 4,610097,William P Nixon Elementary School
Network 4,610088,Wolfgang A Mozart Elementary School
Network 5,610131,Ambrose Plamondon Elementary School
Network 5,610005,Charles Evans Hughes Elementary School
Network 5,610194,Charles Sumner  Math & Science Community Acad ES
Network 5,609873,Crown Community Academy of Fine Arts Center ES
Network 5,610221,Daniel Webster Elementary School
Network 5,610073,Ellen Mitchell Elementary School
Network 5,610503,Frazier Prospective IB Magnet ES
Network 5,609854,Frederic Chopin Elementary School
Network 5,610293,Genevieve Melody Elementary School
Network 5,610202,George W Tilton Elementary School
Network 5,610192,Harriet Beecher Stowe Elementary School
Network 5,609797,Jacob Beidler Elementary School
Network 5,610044,James Russell Lowell Elementary School
Network 5,610271,Jensen Elementary Scholastic Academy
Network 5,609954,John Milton Gregory Elementary School
Network 5,610313,Jose De Diego Elementary Community Academy
Network 5,609925,Joseph Kellman Corporate Community ES
Network 5,610133,Laura S Ward Elementary School
Network 5,610034,Lawndale Elementary Community Academy
Network 5,609907,Leif Ericson Elementary Scholastic Academy
Network 5,610055,Michael Faraday Elementary School
Network 5,610234,Richard Yates Elementary School
Network 5,610056,Roswell B Mason Elementary School
Network 5,610100,West Park Elementary Academy
Network 5,610251,Willa Cather Elementary School
Network 5,610123,William Penn Elementary School
Network 6,610229,A.N. Pritzker School
Network 6,609947,Alexander Graham Elementary School
Network 6,610060,Andrew Jackson Elementary Language Academy
Network 6,610009,Galileo Math & Science Scholastic Academy ES
Network 6,610107,James Otis Elementary School
Network 6,609959,John Charles Haines Elementary School
Network 6,610180,John M Smyth Elementary School
Network 6,609828,Jonathan Burr Elementary School
Network 6,609777,Phillip D Armour Elementary School
Network 6,610138,Pulaski International School of Chicago
Network 6,609979,Robert Healy Elementary School
Network 6,610252,Robert Nathaniel Dett Elementary School
Network 6,610029,Rodolfo Lozano Bilingual & International Ctr ES
Network 6,610405,Suder Montessori Magnet ES
Network 6,609896,Thomas Drummond Elementary School
Network 6,610121,Washington Irving Elementary School
Network 6,609812,William H Brown Elementary School
Network 6,610308,Wilma Rudolph Elementary Learning Center
Network 7,609966,Charles G Hammond Elementary School
Network 7,610063,Cyrus H McCormick Elementary School
Network 7,610227,Eli Whitney Elementary School
Network 7,610215,Francisco I Madero Middle School
Network 7,609920,Gerald Delgado Kanoon Elementary Magnet School
Network 7,610125,Irma C Ruiz Elementary School
Network 7,610216,John A Walsh Elementary School
Network 7,610228,John Greenleaf Whittier Elementary School
Network 7,610184,John Spry Elementary Community School
Network 7,609950,Josefa Ortiz De Dominguez Elementary School
Network 7,609938,Joseph E Gary Elementary School
Network 7,609872,Manuel Perez Elementary School
Network 7,610017,Maria Saucedo Elementary Scholastic Academy
Network 7,610329,Orozco Fine Arts & Sciences Elementary School
Network 7,609867,Peter Cooper Elementary Dual Language Academy
Network 7,610013,Pilsen Elementary Community Academy
Network 7,609921,Telpochcalli Elementary School
Network 7,609967,William F Finkl Elementary School
Network 8,609993,Agustin Lara Elementary Academy
Network 8,610317,Brighton Park Elementary School
Network 8,610353,Calmeca Academy of Fine Arts and Dual Language
Network 8,610170,Columbia Explorers Elementary Academy
Network 8,609909,Edward Everett Elementary School
Network 8,610319,Evergreen Academy Middle School
Network 8,610096,Florence Nightingale Elementary School
Network 8,610532,Irene C. Hernandez Middle School for the Advancement of Science
Network 8,609983,James Hedges Elementary School
Network 8,610174,James Shields Elementary School
Network 8,610559,James Shields Middle School
Network 8,609964,John H Hamline Elementary School
Network 8,609876,Nathan S Davis Elementary School
Network 8,609952,Nathanael Greene Elementary School
Network 8,610239,Richard J Daley Elementary Academy
Network 8,610157,Sidney Sawyer Elementary School
Network 8,610226,Socorro Sandoval Elementary School
Network 8,610589,Sor Juana Ines de la Cruz ES
